sequence_nm;id;Geo location;Collection date;Country;Host;class;aa83_1B;aa90_1B;nt86_1B;nt80_1B;Host_species;Host_genus;Host_fam;Host_fam_ru;Host_shorter
MW592379/NA/HNXX-6-China-2020/goose/2020;MW592379;China;2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW592378/NA/HNSQ-6-China-2020/goose/2020;MW592378;China;2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW592377/NA/HNKF-1-China-2020/goose/2020;MW592377;China;2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW345727/NA/SDPD/goose/2019;MW345727;China;Jan-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW340534/NA/SCCD/goose/2019;MW340534;China;Jan-2019;;Goose;Aves;33.0;60.0;15.0;58.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MW413813/NA/XT1/goose/2020;MW413813;China: HeBei;05-May-2020;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MT934439/NA/NA/goose/2019;MT934439;China;May-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MT934438/NA/NA/goose/2019;MT934438;China;May-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MT934437/NA/NA/goose/2019;MT934437;China;May-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MT585644/NA/VF16-03-164b/Gallus-gallus-broiler-chicken/2016;MT585644;United Kingdom: Northern Ireland;2016;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT585643/NA/VF14-92-A2/Gallus-gallus-broiler-chicken/NA;MT585643;United Kingdom;;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MN109957/NA/NA/goose/2018;MN109957;China: Guangdong;11-Oct-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN109956/NA/NA/goose/2018;MN109956;China: Guangdong;25-Aug-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN109955/NA/NA/goose/2018;MN109955;China: Guangdong;09-Mar-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN109954/NA/NA/goose/2018;MN109954;China: Guangdong;01-Jul-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN127959/NA/NA/goose/2018;MN127959;China: Guangdong;18-Dec-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN127958/NA/NA/goose/2018;MN127958;China: Guangdong;30-Nov-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN127957/NA/NA/goose/2018;MN127957;China: Guangdong;29-Nov-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN127956/NA/NA/goose/2018;MN127956;China: Guangdong;25-Nov-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN127955/NA/NA/goose/2019;MN127955;China: Guangdong;16-Jan-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN127954/NA/NA/goose/2019;MN127954;China: Guangdong;16-Jan-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN127953/NA/NA/goose/2019;MN127953;China: Guangdong;03-Jan-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN127952/NA/NA/goose/2018;MN127952;China: Guangdong;19-Dec-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN127951/NA/NA/goose/2018;MN127951;China: Guangdong;20-Nov-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN103532/NA/NA/goose/2018;MN103532;China;2018-07-01;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MT491732/NA/IBS543-2017/Gallus-gallus/2017;MT491732;Malaysia;2017;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT491731/NA/UPM1019-2018/Gallus-gallus/2018;MT491731;Malaysia;Jan-2018;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT491730/NA/IBS503-2017/Gallus-gallus/2017;MT491730;Malaysia;2017;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789787/NA/CAstV-CA-SK-Chicken-19-0981-19/chicken/2019;MT789787;;24-Apr-2019;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789786/NA/CAstV-CA-SK-Chicken-19-0935-19/chicken/2019;MT789786;;16-Apr-2019;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789785/NA/CAstV-CA-SK-Chicken-18-0942-18/chicken/2018;MT789785;;19-Jun-2018;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789784/NA/CAstV-CA-AB-Chicken-17-0823-17/chicken/2017;MT789784;;09-Aug-2017;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789783/NA/CAstV-CA-AB-Chicken-17-0773b-17/chicken/2017;MT789783;;25-Jul-2017;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789782/NA/CAstV-CA-AB-Chicken-17-0773a-17/chicken/2017;MT789782;;25-Jul-2017;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789781/NA/CAstV-CA-AB-Chicken-15-1262d-15/chicken/2015;MT789781;;19-Nov-2015;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789780/NA/CAstV-CA-AB-Chicken-15-1262c-15/chicken/2015;MT789780;;19-Nov-2015;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789779/NA/CAstV-CA-AB-Chicken-15-1262b-15/chicken/2015;MT789779;;19-Nov-2015;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789778/NA/CAstV-CA-AB-Chicken-15-1262a-15/chicken/2015;MT789778;;19-Nov-2015;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789777/NA/CAstV-CA-AB-Chicken-14-1235d-14/chicken/2014;MT789777;;09-Dec-2014;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789776/NA/CAstV-CA-AB-Chicken-14-1235c-14/chicken/2014;MT789776;;08-Dec-2014;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789775/NA/CAstV-CA-AB-Chicken-14-1235b-14/chicken/2014;MT789775;;08-Dec-2014;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MT789774/NA/CAstV-CA-AB-Chicken-14-1235a-14/chicken/2014;MT789774;;08-Dec-2014;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MN307120/NA/AstV-HN03-Goose-0402-19/goose/2019;MN307120;China;02-Apr-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN307119/NA/AstV-HB02-Goose-0310-19/goose/2019;MN307119;China;10-Mar-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN307118/NA/AstV-HB01-Goose-0123-19/goose/2019;MN307118;China;03-Jan-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN307117/NA/AstV-HN02-Goose-1119-18/goose/2018;MN307117;China;19-Nov-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN307116/NA/AstV-AH02-Goose-0715-18/goose/2018;MN307116;China;15-Jul-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN307115/NA/AstV-AH01-Goose-0512-18/goose/2018;MN307115;China;12-May-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN307114/NA/AstV-HN01-Goose-0103-18/goose/2018;MN307114;China;03-Jan-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN894548/NA/NA/goose/2019;MN894548;China: Hubei province;16-Jun-2019;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN807051/NA/AAstV-Chicken-CHN-2018-CZ1801/Gallus-gallus/2018;MN807051;China;2018;;Gallus gallus;Aves;1.0;28.0;46.0;1.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MN809622/NA/AstV-SDTA/duck/NA;MN809622;China;;;Duck;Aves;38.0;53.0;47.0;2.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
MT138011/NA/prf038ast1/NA/2018;MT138011;;2018;;nan;;13.0;42.0;60.0;14.0;;;;;
MT138010/NA/prf037ast2/NA/2018;MT138010;;2018;;nan;;13.0;42.0;60.0;14.0;;;;;
MT138007/NA/ltr178ast1/NA/2018;MT138007;;2018;;nan;;13.0;43.0;61.0;15.0;;;;;
MT138005/NA/hwf041ast1/NA/2018;MT138005;;2018;;nan;;13.0;1.0;26.0;27.0;;;;;
MT138002/NA/cra070ast1/NA/2018;MT138002;;2018;;nan;;16.0;3.0;28.0;29.0;;;;;
MT137999/NA/coa196ast1/NA/2018;MT137999;;2018;;Periparus ater;;39.0;54.0;9.0;52.0;Periparus ater;Periparus;Paridae;Paridae (синицевые);Paridae (синицевые)
MT137996/NA/cfe153ast01/NA/2018;MT137996;;2018;;nan;;21.0;9.0;35.0;34.0;;;;;
MT138009/NA/prf037ast1nc/NA/2018;MT138009;;2018;;nan;;22.0;10.0;36.0;35.0;;;;;
MT137994/NA/bsk136ast01/NA/2018;MT137994;;2018;;nan;;24.0;12.0;38.0;37.0;;;;;
MT137992/NA/bfb201ast01/NA/2018;MT137992;;2018;;nan;;26.0;14.0;2.0;44.0;;;;;
MT137991/NA/bbr144ast1/NA/2018;MT137991;;2018;;Prunella montanella;;28.0;16.0;44.0;40.0;Prunella montanella;Prunella;Prunellidae;Prunellidae (завирушковые);Prunellidae (завирушковые)
MN920672/NA/ytb090ast01/NA/2018;MN920672;China;2018;;nan;;26.0;14.0;2.0;44.0;;;;;
MN920671/NA/ytb089ast01/NA/2018;MN920671;China;2018;;nan;;26.0;14.0;2.0;44.0;;;;;
MN920670/NA/ybw202ast01/NA/2018;MN920670;China;2018;;nan;;34.0;47.0;3.0;45.0;;;;;
MN920669/NA/ybb150ast01/NA/2018;MN920669;China;2018;;nan;;26.0;49.0;4.0;48.0;;;;;
MN920668/NA/war204ast1/NA/2018;MN920668;China;2018;;nan;;36.0;51.0;7.0;50.0;;;;;
MN920667/NA/tom152ast2/NA/2018;MN920667;China;2018;;Petroica macrocephala;;39.0;54.0;9.0;52.0;Petroica macrocephala;Petroica;Petroicidae;Petroicidae (австралийские малиновки);Petroicidae (австралийские малиновки)
MN920663/NA/spa143ast1/NA/2018;MN920663;China;2018;;nan;;36.0;58.0;13.0;56.0;;;;;
MN149392/NA/D17/Jinding-ducks/2013;MN149392;China;13-Oct-2013;;Jinding ducks;Aves;3.0;31.0;48.0;3.0;Jinding ducks;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN428645/NA/AHAU5/goose/2018;MN428645;China: Anhui;2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN428644/NA/AHAU4/goose/2018;MN428644;China: Anhui;2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN428643/NA/AHAU3/goose/2018;MN428643;China: Anhui;2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN428642/NA/GD-AHAU2/goose/2018;MN428642;China: Anhui;2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN428641/NA/AHAU1/goose/2018;MN428641;China: Anhui;2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN175321/NA/NA/goose/2018;MN175321;China: Heilongjiang province;09-Jul-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN732559/NA/NA/Gallus-gallus-(broiler)/2017;MN732559;China;2017;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MN732558/NA/NA/Gallus-gallus-(broiler)/2018;MN732558;China;2018;;Gallus gallus;Aves;32.0;48.0;52.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MN725026/NA/NA/chicken/2018;MN725026;China;2018;;Gallus gallus;Aves;1.0;28.0;46.0;1.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MN725025/NA/NA/chicken/2018;MN725025;China;2018;;Gallus gallus;Aves;1.0;28.0;46.0;1.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MN068024/NA/GTF-07/goose/2018;MN068024;China;Apr-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN068023/NA/GTF-04/goose/2018;MN068023;China;Apr-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN337323/NA/XX/goose/2018;MN337323;China;10-Jul-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MN399857/NA/SDXT/duck/2019;MN399857;China;15-Mar-2019;;Duck;Aves;38.0;53.0;47.0;2.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
KT886453/NA/CAstV-Poland-G059-2014/Gallus-gallus/2014;KT886453;Poland;Feb-2014;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MK125058/NA/JSHA/gosling/2016;MK125058;China;2016;;Gosling;Aves;38.0;53.0;47.0;2.0;Gosling;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MK096775/NA/PasAstV-3/Passeriformes/2016;MK096775;French Guiana;Oct-2016;;Passeriformes;Aves;15.0;2.0;27.0;28.0;Passeriformes;Passer;Passeridae;Passeridae (воробьиные);Passeridae (воробьиные)
MK096774/NA/PasAstV-2/Passeriformes/2016;MK096774;French Guiana;Oct-2016;;Passeriformes;Aves;17.0;4.0;29.0;30.0;Passeriformes;Passer;Passeridae;Passeridae (воробьиные);Passeridae (воробьиные)
MK096773/NA/PasAstV-1/Passeriformes/NA;MK096773;French Guiana;;;Passeriformes;Aves;35.0;50.0;5.0;49.0;Passeriformes;Passer;Passeridae;Passeridae (воробьиные);Passeridae (воробьиные)
MG661261/NA/NA/NA/2015;MG661261;China;2015;;Rhesus monkey;;43.0;59.0;31.0;57.0;;Macaca;Cercopithecidae;Cercopithecidae (мартышковые);Mammalia (Млекопитающие)
MH712856/NA/NA/duck/2012;MH712856;China;06-Feb-2012;;Duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
MH807626/NA/NA/goose/2018;MH807626;China;08-Jan-2018;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
KY807085/NA/HN1G/Lingxian-White-Goose/2014;KY807085;China;20-May-2014;;Lingxian White Goose;Aves;38.0;53.0;47.0;2.0;Lingxian White Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MH453801/NA/AstV-Red-necked-Avocet-MW09-Interior/Red-necked-Avocet/2013;MH453801;Australia: Innaminka Regional Reserve;2013;;Red-necked Avocet;Aves;27.0;15.0;41.0;39.0;Red-necked Avocet;Recurvirostra;Recurvirostridae;Recurvirostridae (шилоклювковые);Recurvirostridae (шилоклювковые)
MH453800/NA/AstV-Red-necked-Avocet-MW08-Interior/Red-necked-Avocet/2013;MH453800;Australia: Western Port Bay;2013;;Red-necked Avocet;Aves;29.0;17.0;45.0;41.0;Red-necked Avocet;Recurvirostra;Recurvirostridae;Recurvirostridae (шилоклювковые);Recurvirostridae (шилоклювковые)
MG599918/NA/NA/Hemidactylus-bowringii/NA;MG599918;China;;;Hemidactylus bowringii;Lepidosauria;37.0;52.0;8.0;51.0;Hemidactylus bowringii;Hemidactylus;Gekkonidae;Gekkonidae (гекконовые);Reptilia (Пресмыкающиеся)
MG599917/NA/NA/Gekko-similignum/NA;MG599917;China;;;Gekko similignum;Lepidosauria;40.0;55.0;10.0;53.0;Gekko similignum;Gekko;Gekkonidae;Gekkonidae (гекконовые);Reptilia (Пресмыкающиеся)
MG599910/NA/NA/Duttaphrynus-melanostictus/NA;MG599910;China;;;Duttaphrynus melanostictus;Amphibia;43.0;59.0;14.0;57.0;Duttaphrynus melanostictus;Duttaphrynus;Bufonidae;Bufonidae (жабовые);Amphibia (Амфибии)
MH410610/NA/NA/goslings/2017;MH410610;China: Anhui province;Aug-2017;;Gosling;Aves;33.0;60.0;15.0;58.0;Gosling;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
NC_034567/NA/FLX/Hortobagy-goose/2014;NC_034567;China;04-Jun-2014;;Hortobagy goose;Aves;33.0;60.0;15.0;58.0;Hortobagy goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
NC_012437/NA/NA/duck/2008;NC_012437;China;09-Jul-2008;;duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
NC_005790/NA/NA/NA/NA;NC_005790;;;;turkey;Aves;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
NC_002470/NA/NA/turkey/NA;NC_002470;;;;turkey;Aves;7.0;36.0;54.0;8.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
MG934571/NA/GD/goose/2017;MG934571;China: Guangdong;01-Nov-2017;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MF768270/NA/NA/pigeon/2014;MF768270;China;2014-03-01;;Pigeon;Aves;32.0;27.0;39.0;46.0;Pigeon;Columba;Columbidae;Columbidae (голубиные);Columbidae (голубиные)
MH052598/NA/NA/goose/2017;MH052598;China;16-Nov-2017;;Goose;Aves;38.0;53.0;47.0;2.0;Goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
MF772821/NA/NA/Lande-geese/2017;MF772821;China: Shandong province;2017-04;;Lande geese;Aves;38.0;53.0;47.0;2.0;Lande geese;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
KY646154/NA/HB2015/Beijing-duck/2015;KY646154;China;2015;;Beijing duck;Aves;3.0;31.0;48.0;3.0;Beijing duck;Duck;Anatidae;Anatidae (утиные);Anatidae (утиные)
KX397576/NA/CkP5/chicken/NA;KX397576;USA;;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
KX397575/NA/CC-CkAstV/chicken/NA;KX397575;USA;;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
KY271027/NA/FLX/Hortobagy-goose/2014;KY271027;China;04-Jun-2014;;Hortobagy goose;Aves;33.0;60.0;15.0;58.0;Hortobagy goose;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
KY038163/NA/CAstV-INDIA-ANAND-2016/chicken/2016;KY038163;India;24-Feb-2016;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
FJ919228/NA/NA/duck/NA;FJ919228;China;;;Duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
FJ919227/NA/NA/duck/NA;FJ919227;China;;;Duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
FJ919226/NA/NA/duck/NA;FJ919226;China;;;Duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
FJ919225/NA/NA/duck/NA;FJ919225;China;;;Duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
JF414802/NA/GA2011/chicken/2007;JF414802;USA;Aug-2007;;Gallus gallus;Aves;1.0;30.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
JX624774/NA/NA/Pekin-duck/NA;JX624774;China;;;Beijing duck;Aves;2.0;29.0;25.0;26.0;Beijing duck;Duck;Anatidae;Anatidae (утиные);Anatidae (утиные)
KJ020899/NA/NA/duck/2013;KJ020899;China;22-Jun-2013;;Duck;Aves;8.0;37.0;56.0;10.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
KF753807/NA/NA/NA/2012;KF753807;China;15-Sep-2012;;Duck;;19.0;25.0;23.0;24.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
KF753806/NA/NA/NA/2012;KF753806;China;15-Sep-2012;;Duck;;19.0;25.0;23.0;24.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
KF753805/NA/NA/NA/2012;KF753805;China;15-Sep-2012;;Duck;;19.0;25.0;23.0;24.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
KF753804/NA/NA/NA/2012;KF753804;China;15-Sep-2012;;Duck;;19.0;25.0;23.0;24.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
JX439643/NA/NA/duck/2012;JX439643;China;01-Jan-2012;;Duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
Y15936/NA/NA/turkey/NA;Y15936;;;;turkey;Aves;7.0;36.0;54.0;8.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
FJ434664/NA/NA/duck/2008;FJ434664;China;09-Jul-2008;;Duck;Aves;3.0;31.0;48.0;3.0;Duck;Anas;Anatidae;Anatidae (утиные);Anatidae (утиные)
EU143851/NA/NA/NA/NA;EU143851;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
EU143850/NA/NA/NA/NA;EU143850;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
EU143849/NA/NA/NA/NA;EU143849;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
EU143848/NA/NA/NA/NA;EU143848;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
EU143847/NA/NA/NA/NA;EU143847;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
EU143846/NA/NA/NA/NA;EU143846;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
EU143845/NA/NA/NA/NA;EU143845;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
EU143844/NA/NA/NA/NA;EU143844;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
EU143843/NA/NA/NA/NA;EU143843;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
AF206663/NA/NA/NA/NA;AF206663;;;;turkey;;19.0;6.0;32.0;32.0;turkey;Meleagris;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
JF832365/NA/4175/Gallus-gallus/2006;JF832365;USA: GA;Nov-2006;;Gallus gallus;Aves;5.0;33.0;50.0;5.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
HQ889774/NA/NA/pigeon/2010;HQ889774;China: Shanghai;Sep-2010;;Pigeon;Aves;32.0;48.0;52.0;47.0;Pigeon;Columba;Columbidae;Columbidae (голубиные);Columbidae (голубиные)
